Class,ReviewTitle,ReviewText
2,Great book for travelling Europe,"I currently live in Europe, and this is the book I recommend for my visitors. It covers many countries, colour pictures, and is a nice starter for before you go, and once you are there."
1,Not!,"If you want to listen to El Duke , then it is better if you have access to his shower,this is not him, it is a gimmick,very well orchestrated."
1,A complete Bust,"This game requires quicktime 5.0 to work...if you have a better version of quicktime (I have 7.5), it will ask you to install the quicktime available on the CD...if you click no, it will not let you play. So, I begrudgingly clicked yes on the third try, and it installed quicktime 5, THEN it tells me to please install the quicktime available on the disc. It KEPT telling me that, even after I uninstalled my version of quicktime 7.5, and reinstalled Barbie Rapunzel and quicktime 5. Very frustrating, and the game absolutely will not work for me. It keeps telling me over and over, to install quicktime 5, tho I've been through the installation process repeatedly. It is NOT my ""operating system limitations"". This is a brand new computer...merely weeks old with all the state of the art contraptions."
2,TRULY MADE A DIFFERENCE!,I have been using this product for a couple years now. I started using it because my hair had gotten so dry from all the chemical treatments and relaxers. This actualy came in the relaxer kit. I tried it and could not beleive the difference it made with one use. I could not find it in any of the stores at the time so I searched Amazon and they had it. I absolutely love it. It is the best moisturizing product I have used so far. My hair is soft with good elasticity and it is not breaking anywhere close to what it was. I am very happy with it.
1,didn't run off of USB bus power,"Was hoping that this drive would run off of bus power, but it required the adapter to actually work. :( I sent it back."
1,Don't buy!,"First of all, the company took my money and sent me an email telling me the product was shipped. A week and a half later I received another email telling me that they are sorry, but they don't actually have any of these items, and if I received an email telling me it has shipped, it was a mistake.When I finally got my money back, I went through another company to buy the product and it won't work with my phone, even though it depicts that it will. I have sent numerous emails to the company - I can't actually find a phone number on their website - and I still have not gotten any kind of response. What kind of customer service is that? No one will help me with this problem. My advice - don't waste your money!"
2,"Simple, Durable, Fun game for all ages","This is an AWESOME game! Almost everyone know tic-tac-toe so it is EASY to learn and quick to play. You can't play just once! The twist is that your pieces are slightly different sizes - just big enough to gobble up your opponent. The first person to make tic-tac-toe wins, but it's not as easy as it looks when you're stuck in the mindset of just making three in a row and forget about the gobbling possibilities! My 4 and 5 year olds will beat me even when I'm trying to win! Excellent beginning critical thinking game. Grandparents loved playing it with the kids too."
2,Review of Kelly Club for Toddlers,"For the price of 7.99, this PC game is WELL worth it, great graphics, colorful and lots to do! My four year old daughter is in love with the many tasks to complete in this game, including dressing and grooming wide variety of pets and decoration of numerous floats to show in your little one's very own parade."
2,SOY UN APASIONADO DEL BOX,"Y ESTE LIBRO EST脕 ESPL脡NDIDO !Lo disfrutas, lo puedes usar como obra de consultaNos trae LAS HISTORIA DE LOS BOXEADORES M脕S BRILLANTES, DE LOS CAMPEONES DURANTE CIEN A脩OS !!Si te gusta el box...隆NO TE LO PIERDAS !"
2,Some of the best fiddle playing I have heard in a long time,This is an excellent album with some great fiddle playing. Ryan is amazing to watch when he plays in person. You can feel the emotion he puts into each song.
1,Long and boring,"I've read this book with much expectation, it was very boring all through out the book"
1,Dont like it,This product smells when you open the package and it appears one of the gel cushions leaks so I spent $10 and havent worn then. I wouldnt buy this product again. Dont waste your money on something you may not be able to use.
2,one of the last in the series to collect !,The magazine was in very good condition and had the usual high standard of articles and photos that Victoria magazine has come to represent. I have collected all the previous magazines of the series and still enjoy leafing through them on a rainy day
2,Sony Hi8 Camcorder with 2.5 LCD,"I believe I will be very happy with the camcorder. Its small,light and easy to handle.The LCD is clear and bright.Ease of operation."
1,Don't Take the Chance - Get the SE Branded Cable,"If you purchase this data cable, you need to know that you will receive no real directions or information regarding what to check if nothing works. As directed, I downloaded all of the files from the SE site (70MB on dial up!), and then downloaded all of the user guides. Everything seemed to install ok, but nothing would make my phone be recognized. After that I scoured the SE site for troubleshooting info on their branded cable-in the hope that something would help me figure out the problem. After 2 full days of beating my head against the wall, I finally threw the cable and the useless CD that came with it in the trash.If I had used my brain I would have paid the extra $$ for a SE branded cable and software (and the support that comes along with that). I now have the real deal (SE data cable and software), and guess what? Yep, installation was a breeze and it works beautifully. You really do get what you pay for."
1,Waste of money!,"Like many of the Barbie CD Roms, the playtime is limited - averaging about 5 mins for each of my two daughters (ages 5 & 7). Like the Barbie movies and other CD Roms the graphics are poorly done."
2,works great,"i bought this item to connect to a strobe light. unit functions well. not sure that it has all the range claimed, but i never really believe everything a manufacturer claims about a product like this. just too many variables. I can say it works from my neighbors house into my garage; at least 40' going thru two buildings. now if i make too much noise later at night he can simply press a button to let me know."
1,Has No Range,"I suppose if you were going to sit in the same room and have line-of-sight with the device, lamp, etc. plugged into this control, it might work. Maybe. But I had it completely within the stated range and one basic house wall separating me and the unit, and it was completely unreliable.I'd recommend spending a touch more money and getting a higher quality product."
2,wish i had gotten this sooner!,"ive got a lamp in the corner of my room behind my desk thats a complete pain in the arse to turn on and off. ive been using this with the lamp for a month now and it works perfectly. added a little velcro and now i have a light switch where ever i want. under my desk, shelf, etc."
1,Three Days of Use and It Broke,"Very disappointed in this product. It worked perfectly for exactly three days and could not be resuscitated. It was very inexpensive so I did not want to pay half again the price to ship it back for an exchange, so the company would do nothing when they sent me an inquiry as to product satisfaction."
2,This is the all time best book!,"This is the all time best book. She mentoins in the book how anyone can be a vampire, who knows. Well anyway I like the idea of having one soulmate and one crazed werewolf crush. P.S I think that it is a good twist on the story about how anone can be part of the night world."
2,Mary Ash,Can't believe I have never reviewed this book before. First read this back when I was 13. Like a lot of girls wanting the mysterious boyfriend and believed in soul-mates which drug me into these books. Rereading it over time years later still stands the test of time for me. Ash is that bad boy you want and your parents want you to stay away from even though he seems like a jerk there is just something about him that make you wanna root for him.
2,Tha BOMB of a book!!,"L.J. Smith is the best author in the whole world. I read this book a year ago but I can't stop reading it. It is beyond sweet. I love Ash.The entire Night World seris is the bomb. I read mostly everyone of L.J Smiths book and they all are awesome. I think Ash and Mary Lynetee are one of the sweetest soulmates. I loved how they tried to fight there feelings but couldn't. There should be real guys like Ash,Quinn,Juliun,Damon,Gabriel and I can go on forever. I think everyone should read at least one L.J Smith book. If you do you'll be hooked on them for life,like I am. L.J Smith is the BEST!!!!"
2,This book was a great book that i have read many times!,This book was so great! I loved and read it so many times that i will soon have to buy a new copy because my last one fell apart. I just hope that there is a follow up on this story because I want to know if Mary-Lynette and Ash get together.
2,They'd watch it nonstop if I'd let them,"apart from it arriving broken the first time, my kids are loving this DVD, which I alternate with the other I purchased to keep my own sanity. This DVD has created a Thomas fan out of my 3 1/2 yr. old daughter as well."
1,Not as expected...,My children get easily bored with this video. I thought it was several episodes of Thomas but it has A LOT of just children and parents talking about Thomas and all. It doesn't keep the kids attention because what kid wants to sit and listen to a bunch of talking. This was my first Thomas video purchase...hopefully the next will have more shows and less talking!
2,Wonderful,I went online for information about Dockers Khaki pants. The size my husband wears are very hard to find in stores. I was very impressed with the selection I had and he was thrilled to have all these pants without having them taken up in the length. The delivery was quick (especially during Christmas) and I really appreciate all the effort made to send us the selections we chose.
1,Doublecharged for shipping because merchant was backordered,"Merchant was out of stock on the second pair of pants, so when it was shipped I was charged $9 again when the second pair was in stock weeks later.Will not buy from Amazon vendors again."
2,Book of Chance,"I had just finished reading 'The Food of Love' by Anthony Capella since I had nothing to do, but read. Mind you, reading is one of my favorite pastimes.I had recently bought a series of books. The Food of Love was just one of the books I just picked up so I can get that 'three for the price of two' deal at Waterstones in London (British's equivalent of Barnes&Noble;). I wasn't really interested, but it was one of the more interesting options I had. Well, I'm glad I made the right choice! I started reading it last night and I haven't put it down since.If you love food and a little romance, which I am both fond of, it's an excellent book to read. Mr. Capella was remarkably thorough in his description of the rich and textured Italian dishes that the words assails you with a sense of smell and taste that leaves you hungry for more. This book took me by surprise and I'm sure you would not be disappointed."
1,"Light reading, light in substance","A clich茅d storyline based on the classic Cyrano de Bergerac, this book reads like a rookie novel written by someone who has a knowledge and passion for Italian culture and cuisine, but little experience in developing a story. I can understand Bruno and his passion for cooking, but have no clue as to his passion for Laura. It seems to be primarily based on her being a blonde American. How exotic. Her character is so underdeveloped- we know she's studying art history, and she enjoys Bruno's cooking with a passion. That's about it. And Tomasso, he's just the clich茅 for any over-sexed Mediterranean male who encounters foreign females.It's a light and entertaining read if you can get beyond all of the reasons you should put it down and walk away. That being said, I will, however, check out this author's more recent novels. He does seem to have a way with technical details, hopefully his storytelling has caught up."
2,WeiB FOREVER!,"This is a great CD!! I love WeiB Kreuz!! The anime is awsome! Its bout 4 guys (hhhooottt) who work at a flower shop, but at night they are the White Hunters (or Byce as in the anime) they are assasins that ""hunt the tomorrow"" of Bad guys, the bad guys the police cant get . Like when teens start blowing up in flames in public for no reason... from a strange gas substance that w/ instant contact ingulfs any object... but i couldnt resist. Its also an emotional anime at times! I think this is a Cd and Anime any anime fan should see..."
1,Great Book--unacceptable condition,"I was looking forward to receiving this book, as I was going to New Orleans to Antoine's restaurant. I read the book at least thirty years ago and wanted my own copy. This book came without a dust jacket and was so musty that I could not read it without my eyes watering. I sent it back, at my own expense, and to date, I have not had a refund."
2,Real HTML for people who build sites for a living,"This book is simply great! If you build sites for a living you probably struggle with books that trivialize HTML and present its syntax willy-nilly. This book is the ONLY book I've ever seen that actually seems to be written by someone who builds sites professionally and wants to know all the markup. It explains logical and physical tagging styles well and does a really good job showing how to hook HTML with other technologies without trying to teach CGI, CSS, etc. at the same time. The only thing I wish is that this guy would write a JavaScript or DHTML book. I'd buy that right away."
2,Marriage has its good and bad moments,"This is a tear-jerker mixed with humor. A lot of rough patches for this couple but don't let that scare you off because there are also a lot of good times, too. I watch this movie often as I am a hopeless romantic and I thoroughly enjoy the music and dancing (Hindi style & Pop Rock mix), plus it's worth wading through the tears to get to the fun parts. It ends the way a typical relationship of this type would, but that's not exactly a bad thing in this case. I recommend it to everyone."
2,Amazing...,love it...very touch.it's to bad that in the dvd description doesn't mention no subtitles
2,Leslie in a nutshell,"Danelectro DJ-20C Rocky Road Spin Speaker Mini Effects Pedal, is an amazing little pedal!I use it with guitar, and keyboards.Using with Keyboards, organ mode(doesn't matter which type) jazz, rock, gives me an instant controllable Leslie effects.it includes fast and slow ramp up,boost, volume/drive. thru a mixer in stereo you can do some amazing stuff with this inexpensive unit.The only drawback i have found is the buttons are very hard to engage and disengage.But i'm working on that. i will modify the springs if possible and maybe even send a recommendation to Danelectro."
1,More Romance Please and Less Mystery!!,"the reason i gave two stars when I usually give 5 stars for ms. feehan's books is b/c this book was tooooooo mystery/gothic genre rather than romance. I really didn't feel like the two main characters were in love, in fact the entire book was almost entirely from the heroine's point of view and I was getting sick of her whining and her point of view. unlike the ""dark"" series, you really didnt feel any passion. the book is better suited for the mystery/gothic genre and NOT romance.even the mystery was not that good! its only in the last chapter that for some unforseen reason the villain confesses all in less than three pages. throughout the entire book, you're kept in suspense of who was the bad guy, if you wanted to know who it was look at the last couple of pages....Ms. Feehan, if your reading, please focuse more on the main characters relation to each other rather then distract us with so much unamusing mystery!"
1,A Lost Author,"I have read all of the Carpathian novels to date, except one. I very much enjoyed them at first, but nothing EVER gets resolved. You would think that after 16 books something would have been resolved and a new obstacle introduced. As for this book, it is an off-shoot of another Carpathian novel about the Jaguar Line. I was hoping to find out more about this curse, the origins and why the males kill the females. Nothing, not a word about the Jaguar curse. And why do the walls and ceilings change? Ideas introduced and left at that. Ms. Feehan went, once again, off on a tagent. Her books become less and less meaty and more and more expensive. I will NOT be buying any further books by this author. What a shame."
1,Okay but Messy....,"We purchased this bag for a vacation we were taking a cruise and we wanted to use it when we left the ship. The bag was convenient to carry, however the faux leather began peeling. At first it wasn't so bad but then it became annoying because it then began flaking all over your skin and clothes. I would have rather the bag been a cloth bag with no flaking than the faux leather that I had to keep wisking away from my skin and clothes."
2,Patricia Cornwell has turned me into a reader,"I was never really a big reader before and somebody put me on to Patricia Cornwell. Well, now I can't put her books down. Her books just get better and better as you go through the Kay Scarpetta series.I really enjoy the series concept and the fact that some of the same characters keep returning from book to book. It's nice to see the characters develop through each story line. It allows you to get comfortable with them, get close to them, and get frustrated with them when they do something out of character.I highly recommend reading not just this book but the entire Kay Scarpetta series."
2,Best of the First Four in this series.,"This is an awesome book. Kay just keeps getting better and better. It's also fun to see the characters develop more with each book - Kay herself as she seems to be always ""one against the world"", Marino who it appears is heading towards some sort of heart attack, Lucy who seems to be getting more and more quixotic. In this book Kay finds herself smack in the middle of a series of gruesome killings. It appears that a recently executed murderer, who Kay herself has seen on her autopsy table, is still around committing crimes. A number of murders occur where the executed murderer's fingerprints are turning up. Kay, Marino and Benton try to track a killer, but it appears that the corruption goes up a long ways into the political stratosphere. This is a taut and totally believable thriller. I can't wait until the next one because the book ended with the way wide open to the next installment."
2,Great Beginning...poor ending,"Parricia Corwell, Cruel & Unusual was breathtaking in the beginning! Her relation to her family, her dedication to her work exeptional. However, this story began to get boring towards the end...the ending, not too great."
1,12 Y/O Potty Humor From 40 somethings does not a comedy make....,"Saw this movie and felt compelled to warn people not to waste 144 agonizing minutes of their lives. In a nutshell, I have heard many more clever jokes and ""one-liners"" watching King of Queens on cable.....SERIOUSLY FOLKS, it's THAT BAD....the bad jokes and the 23 references to small jewish penises got old real quick. Thought i would always be a Sandler fan but he clearly, Adam was in need of some rent money and jumped on this script for the cash and RAN!Why else would the plot line include Seth Rogan writing for him??? To put things into perspective, this film made Bruno look like Casablanca!!"
1,I wish Adam Sandler wasn't in this.,"I should have known going into this movie having Judd Apatow a part of it would mean I would hate it. However, having Adam Sandler in it and seeing the previews in the theater we gave it a (very hopeful) chance. The movie loses it's true premise of having depth in amongst the terrible & crude ""jokes"". I have to say we didn't make it more than 30 minutes into the movie before turning it off. It is a constant barrage of pathetic behavior. I just don't believe that there are this many people out here that are like this and can relate to this behavior. Very Disappointing."
2,"Wonderful, baffling mix","This has just about everything. The rabbi, of course, is learned and devout, even if his schooling causes some nervousness. The cat becomes fantastical when some mystery grants him human speech. The visit abroad captures all the distrust of the alien that the most insular of small-towners can summon. And, around all of that, the monotonous drama of life unfolds: loves, losses, and changes that no one knows how to ride out.Comics have moved well past the BamPow genre into many other idioms - this might border on chick lit, but much less than some. If reality and fantasy remain negotiable for you, with deep family devotions and deeper (or shallower) personal ones, the ragged lines of this comic might touch you.-- wiredweird"
2,No another grill like this...,This grill is one of its kind...It can be use anywhere without so much hard work..it fits snugly anywhere....
1,Disappointment at it's extreme,"I had never read this author, but knew of many who did. When I read that this book was being made into a movie, it seemed a good opportunity to read her, before seeing the screen mess up her work. Now, I pray that the screen does so.I was extremely disappointed with this work. It is unrealistic, fails to capture the reader, and at points when I should have been completely engrossed, left me struggling with whether I wanted to pick it up. I hope she has written better than this, or else, there are a lot of people who have not bothered reading some of the strong authors available.Her characters are not sympathetic, they do not draw the reader's attention, and they are dull in overall scope. I have too many other good books to read before I pick up another book from this author."
2,From Potter's Field by Patricia Cornwell.,This was a very good book with excellent descriptions. It's a real page turner and keeps you wondering what's going to happen next. The best parts are at the very beggining and the end.
2,An Engrossing and Chilling Read,"My first foray into the novels of Patricia Cornwell has left me impressed. The characters were intense and realistic. My only concern is that the ""evil"" Temple Gault at the end of the novel is as vague as he was in the beginning. Why did he decide to trail and give ""gifts"" to Dr. Scarpetta? Needless to say, I will be reading more of Cornwell's books, especially if they are at all like this novel."
2,"great book. i loved it! they mentioned a movie, where is it?",the publisher said soon to be a movie. does anyone know if a movie was ever created?
2,Simply Awesome!,This was only my first Cornwell novel and I'm hooked! In the past few months I have managed to collect all of her books and I can't wait to dive into them! This summer will be a suspensful one for Scarpetta and I.
1,Predictable & has a lame ending,"I have read all of the Scarpetta novels & this is not the worst (that would be Cause of Death) but rt. up there. I thought the story began well enough, but the ending was lame. The plot was predictable. Lucy is nauseating as ever & wish she'd die. Scarpetta is still overly materialistic & self-righteous which has gotten old.One of many gripes would be that I find it very hard to believe that all the crime agencies & the media have zero knowledge of this serial killer's family background (close family members - like a twin sister).My advice - don't let this be your 1st Scarpetta novel."
2,Black Knight C2C Heat Squash Racquet,"Great racquet! But I'm a power hitter I have no power Generating Difficulty With This racquet. My style is to try to volleyball and everything I've found this racquet to well balanced and maneuvered. I like the factory grip although with distinct ridges Others prefer a smooth grip May - give the factory grip on chance and you May Come to like it. The ""sale"" prices are right for a high About end racquet, racquets and Black Knight in Have a reputation for overall durability so you Should get plenty of use Before replacement. Note: I got my first C2C as a D level player and did not like it Immediately. Howeve, as my game improved version I switched from my Bandit Black Knight C2C White racquet to the great success and Have HAD. So, It Might not be the right racquet for a beginner, intermediate to advanced players But Will Benefit From this fine racquet."
1,A historical gem whose title obscures its intent,Started laughing in the second chapter....enjoyed the book after I realized that I wasn't going to learn anything new. It's obviously a miracle that we survived for the 65 years since it was first published.And seeing that the pending insolvency of the US was as loudly shouted in the 40's as it is now was worth the price. This book had quotes that would shame both modern day political extremes in the US.Kudos to whoever owns the copyright --- now there's economics in action.
1,Vastly overrated work of fiction,"I was sorely disappointed in this vapid and smarmy demogoguery. Sure, back then there was no Google searching nor number crunching laptops. But plenty of economic data was available which the author managed to circumvent. Probably the book's greatest failing was to compare the field of economics to other sciences. Even with today's analytical resources, economists are still all over the map on their predictions & conclusions. On the other hand, meteorologists seem to do quite well.Naturally the radical libertarians, tea-baggers & Republicans love this slim volume which is even slimmer on evidence. I would read it only if you want to know why the lunatic fringe is so nutty & irrational."
2,sergeant frosts lonely hearts club band,"edith has created a venue for herself to exorcise melancholic memories with painful melodies. there are no disguises on this collection. lonesome guitars and medicinal piano radiate the mood of broken spirits. she writes all her own songs. these ballads are definite reminders of those unbearable moments we all have to live. they are all gray sky, secluded,isolating tunes. i envision a ironical pace. i thought she was from chicago, millions and millions of people, and she sings stark loneliness"
2,Great Camera,I recently purchased this camera and I'm very satisfied with it. I find the quality of the pictures with this camera as good if not better than anything else without going to digital. It is very comfortable to hold and the controls are easy to use. I highly reccomend this product to anyone looking for a top quality camera at an affordable price. Nice going Sony!
1,Had to return it,"The sizing is perfect and a medium fits just right. I am 5'2 size 4 137 lbs before baby and i gained about 35 lbs during pregnancy, just an idea for sizing but keepin mind that everyone has different fat distributions on their bodies. I don't like how my post baby fat was getting pushed up the top and makes me look like I have back boobs. The shape wear crunched up after you sit or bent over and so it doesn't feel smooth all over. Squeem makes a vest version too so maybe that one will be a better choice for better coverage. If you do decide to purchase this product it's easier to squeeze in if you lay on your bed and suck in your guts."
1,"Broke the 2nd time I wore it, great until then","I think this product provided a great fit. I was able to hook on the first row by myself within about 5 mins max. It wasn't quite as difficult to get on as I thought it might be, although it isn't particularly easy either. I tried it on and wore for about 2 hours, and then the 2nd time I wore it had it on for about the same period of time. I took it off and one of the metal boning pieces had popped through and was hanging out at the bottom. This product is far too expensive to have something like that happen. The fit on me was snug, but I am sure I had the correct size. Now I have to figure out how to get this resolved."
2,The amazing squeem,"I love love love the squeem!!! The before and after pictures are definitely real!!! You can immediately tell the difference when you put it on it definitely improves your posture, you eat much less since it squeezes the he'll outta you but its not an uncomfortable squeeze."
2,Great Product,"A friend recommended this product to flatten the tummy for great look in a dress. I brought a medium according to the measurement guide lines but I needed a small. It was extremely difficult to put on so I needed assistance. Once it was on I was still able to contract my core, which meant that I needed a smaller size. I believe it is because my waist sits high on my torso. Other then that this is great buy."
2,I recommend ordering a size or 2 larger than your regular size.,"I ordered the Squeem waist shaper in a size small...my general size is 4-6, I'm 5'4 and weigh 120lbs right now; over the winter I ate too much cheese and gained about 7 lbs which isn't much to complain about but I have a roll of belly fat that shows through a slinky dress (I just wanted to smooth out my middle and fat above my hips). I wish I'd ordered a medium (or even large) instead because as I was hooking the waist shaper from top to bottom as instructed it was way way way too tight by the time I tried to hook the lower 6"" above my hips. I don't want to be uncomfortable I just want a smooth finish! So, if you're similar in size I recommend ordering a medium instead. In general the quality of the product is exceptionally well stitched and built to last."
1,WASTE OF MONEY: The inner metal rods keep poking through,"The squeem is a great idea but the construction is not the best. While the product compresses your stomach, the inner metal spines bend and then protrude at the ends. I have had to sew the ends repeatedly but the spines keep poking through. At one point, the spine developed some sort of crack and when it poked through the bottom, it scraped my stomach and I took it off immediately. I have never washed the product in the washing machine...I have always handwashed it. So, the manufacturer can't say that I didn't take good care of it."
1,CAUSES BRUISING AND BLISTERS IF WORN TOO LONG,"I ordered this product to slim down my stomach. I was looking for something I could wear all day with my jeans as well as underneath my dresses. I wore the squeem to work occasionally and then I would take it off when I got home. When I would take it off, I felt sore around my sides and my back, I washed the squeem several times and even wore it on the other side thinking this would help but it didn't. One night after work me and some of my coworkers went out for drinks so I ended up keeping the squeem on for about 14hours instead of my normal 9 hours. That night when I took the squeem off I had blisters and bruising on my side and back which have now left black marks (I'm black)on my body. I read other review before I purchased the squeem and I didn't see anything that alerted me not to buy it. Not sure why this happened but if you read this and it happens to you don't say I didn't warn you!"
1,Not happy,I was really unhappy with this. I followed what others said and ordered based on my prepregnancy size. It was WAY too small at 7 weeks post-pardum. I'm ten weeks post-pardum and may try it again but it was a real self-esteem crusher initially. I'm a size 0 pre-pregnancy and so I thought it was fair to order the XS but I guess not.
1,nice product,My wife loves it but we unfortunately perchaced the wrong size. She made a coment about the sizing chart being in dress sizes and she picked the size she is and we received it and the apparel was way too small. We have been meaning to exchange it but its tough to get time being as we have new born twins. That's why she wanted the apparel. She was really excited to receive the part and was disappointed when it didn't fit.
2,Does the job,"I have been looking for something to hold in my stomach that wasn't elastic based. Found this item and have to say I am pretty pleased. The hooks do take a while, but once they are all done, the waist cincher does what it says it will do. The only negative thing is what a lot of the other reviews complain about. It does tend to cause back fat to appear more prominent by your underarms. So I can't wear this with a top that is clingy. Can only wear with looser fitting shirts. Oh well, nothing is perfect."
1,conspiracy theorist,"The author is very likely a Kurdish nationalist, not implausibly a quite supporter of the PKK. As a Communist, he has no room for religion. His analysis is misleading, basically he runs after Muslims under the banner of Islamism, he seeks to undermine the Islamic religion to satisfy his own psychological needs. The author has suppervised the work of others who also claimed to have proved that Islam does not work. The author does not use objective scientific methods, he basically writes in a way that confirms his own priori conclusions. Read the book, if you wish, but with such qualifications in mind. You may read it to understand how the bigot's mind actually works."
1,Another disappointment from Higgins,"This novella (stretched to 271 pages by wide margins and double-spaced lines) reads like a screenplay treatment. There is very little character development, movie-like dialogue, and plenty of mindless action. The ending is wholly unsatisfying and I'm led to believe that this is simply a set-up for another book. An author with some integrity would have placed Edge of Danger as part 1 of a 2-part novel.If you are dead-set on reading Edge of Danger, don't waste your money. The cover price of .....is an insult and the deeply discounted .......... price will still leave you feeling ripped-off. Go to your local library in the morning and you'll finish Edge of Danger in time for an early lunch. Just don't expect to have any appetite left."
1,"1, and thats being generous....","I have read many of Jack Higgins' books and this is the poorest so far, in my humble belief. As I travelled thro' the pages it just got harder and harder to believe the simplicity with which Mr Dillon strolls thro' the events at hand. The story also lacks any imagination and could probably have been summed up in a short story. Mr Dillon is just to sci-fi I'm afraid.There is a quote at the start of the book and as I got near the final chapters, I was starting to imagine that the Author would be writing the finale of Mr Dillon....the quote read""To Tess, who thinks it's about time""Author, I think she may mean something else...."
2,Good matt nude lipstick,It's got a nice warm scent of vanilla-like smell. Texture is creamy. Meadow Sweet is a nice nude color. Can't apply too much or else it'll look a bit dry.
2,I would sell it -- book complete with dust cover. Excellent,West is only fairly judged by the breadth of his work. He has a special view of human nature and all its weaknesses.
2,A welcomed change from the frozen plains of Europe,"A refreshing, sunwarmed, beautifull change from the frozen steeps and plains of Ice Age Europe. A delightful story of a woman who must face and overcome immense odds to survive. The plot line moves in different ways from other ""Woman against the odds"" novels so it is a fresh and not predictable. A very good read and a much better choice over Jean Auel's ""Shelters of Stone""."
1,where does the Novel begin?,I found it preachy and long and got.very bored to claw my way through the very wordy prologue.Then tried to find the.actual novelFinally gave up!!!
1,Avoid it.,"The abridged version of this book would read as so:""Sin is inevitable. So make the best of bad situations. And oh by the way... women are strong.""There ya go. Nuff said. I don't need to read obnoxiously long sentences lamenting on one sentiment for the entire 160 odd pages or so of this travesty. The entire book is just one big complaint. From the girl who commits adultery. She laments about it for the whole stinking book and puts up with some obnoxious kid the for whole thing as well. Painfully thick language, stupid storyline, quixotic style... everything that would piss off a recreational reader. Avoid it."
1,ok...,this book was recommend 2 me from my neighbor. but i dont think that dis is dat gud of a book 2 recommend... i didnt like it 2 much but...
2,The Scarlet Letter,I really enjoyed this book. It shows the judgmental tendencies in our human race and how one woman strove to live a life of service to others to gain redemption for her mistake. Can't go wrong with the classics.
